0<=x<30; y=80.000000+-0.500000x; interpolation
30<=x<60; y=67.000000+-0.066667x; interpolation
60<=x<90; y=19.000000+0.733333x; interpolation
90<=x<120; y=103.000000+-0.200000x; interpolation
120<=x<150; y=59.000000+0.166667x; interpolation
150<=x<180; y=119.000000+-0.233333x; interpolation
180<=x<210; y=59.000000+0.100000x; interpolation
210<=x<240; y=185.000000+-0.500000x; interpolation
240<=x<270; y=-71.000000+0.566667x; interpolation
270<=x<300; y=91.000000+-0.033333x; interpolation
300<=x<330; y=61.000000+0.066667x; interpolation
330<=x<360; y=149.000000+-0.200000x; interpolation
360<=x<390; y=221.000000+-0.400000x; interpolation
390<=x<420; y=13.000000+0.133333x; interpolation
420<=x<450; y=-155.000000+0.533333x; interpolation
450<=x<480; y=100.000000+-0.033333x; interpolation
480<=x<510; y=388.000000+-0.633333x; interpolation
510<=x<540; y=48.000000+0.033333x; interpolation
540<=x<570; y=102.000000+-0.066667x; interpolation
570<=x<600; y=7.000000+0.100000x; interpolation
600<=x<630; y=67.000000+0.000000x; interpolation
630<=x<660; y=46.000000+0.033333x; interpolation
660<=x<690; y=-174.000000+0.366667x; interpolation
690<=x<720; y=424.000000+-0.500000x; interpolation
720<=x<750; y=-440.000000+0.700000x; interpolation
750<=x<780; y=510.000000+-0.566667x; interpolation
780<=x<810; y=-270.000000+0.433333x; interpolation
810<=x<840; y=405.000000+-0.400000x; interpolation
840<=x<870; y=-295.000000+0.433333x; interpolation
870<=x<900; y=169.000000+-0.100000x; interpolation
900<=x<930; y=109.000000+-0.033333x; interpolation
930<=x<960; y=109.000000+-0.033333x; interpolation
960<=x<990; y=525.000000+-0.466667x; interpolation
990<=x<1020; y=-366.000000+0.433333x; interpolation
1020<=x<1050; y=450.000000+-0.366667x; interpolation
1050<=x<1080; y=-285.000000+0.333333x; interpolation
1080<=x<1110; y=399.000000+-0.300000x; interpolation
1110<=x<1140; y=-8.000000+0.066667x; interpolation
1140<=x<1170; y=-236.000000+0.266667x; interpolation
1170<=x<1200; y=232.000000+-0.133333x; interpolation
1200<=x<1230; y=312.000000+-0.200000x; interpolation
1230<=x<1260; y=148.000000+-0.066667x; interpolation
1260<=x<1290; y=-20.000000+0.066667x; interpolation
1290<=x<1320; y=-192.000000+0.200000x; interpolation
1320<=x<1350; y=-412.000000+0.366667x; interpolation
1350<=x<1380; y=218.000000+-0.100000x; interpolation
1380<=x<1410; y=218.000000+-0.100000x; interpolation
1410<=x<1440; y=-205.000000+0.200000x; interpolation
1440<=x<1470; y=131.000000+-0.033333x; interpolation
1470<=x<1500; y=425.000000+-0.233333x; interpolation
1500<=x<1530; y=525.000000+-0.300000x; interpolation
1530<=x<1560; y=117.000000+-0.033333x; interpolation
1560<=x<1590; y=169.000000+-0.066667x; interpolation
1590<=x<1620; y=-838.000000+0.566667x; interpolation
1620<=x<1650; y=998.000000+-0.566667x; interpolation
1650<=x<1680; y=8.000000+0.033333x; interpolation
1680<=x<1710; y=8.000000+0.033333x; interpolation
1710<=x<1740; y=236.000000+-0.100000x; interpolation
1740<=x<1770; y=-170.000000+0.133333x; interpolation
1770<=x<1800; y=184.000000+-0.066667x; interpolation
1800<=x<1830; y=-1016.000000+0.600000x; interpolation
1830<=x<1860; y=1607.000000+-0.833333x; interpolation
1860<=x<1890; y=-563.000000+0.333333x; interpolation
1890<=x<1920; y=-1130.000000+0.633333x; interpolation
1920<=x<1950; y=1366.000000+-0.666667x; interpolation
1950<=x<1980; y=-454.000000+0.266667x; interpolation
1980<=x<2010; y=-322.000000+0.200000x; interpolation
2010<=x<2040; y=-255.000000+0.166667x; interpolation
2040<=x<2070; y=1309.000000+-0.600000x; interpolation
2070<=x<2100; y=274.000000+-0.100000x; interpolation
2100<=x<2130; y=64.000000+0.000000x; interpolation
2130<=x<2160; y=-7.000000+0.033333x; interpolation
2160<=x<2190; y=65.000000+0.000000x; interpolation
2190<=x<2220; y=-1103.000000+0.533333x; interpolation
2220<=x<2250; y=-215.000000+0.133333x; interpolation
2250<=x<2280; y=1735.000000+-0.733333x; interpolation
2280<=x<2310; y=-13.000000+0.033333x; interpolation
2310<=x<2340; y=64.000000+0.000000x; interpolation
2340<=x<2370; y=-950.000000+0.433333x; interpolation
2370<=x<2400; y=-239.000000+0.133333x; interpolation
2400<=x<2430; y=1281.000000+-0.500000x; interpolation
2430<=x<2460; y=-1311.000000+0.566667x; interpolation
2460<=x<2490; y=247.000000+-0.066667x; interpolation
2490<=x<2520; y=-85.000000+0.066667x; interpolation
2520<=x<2550; y=335.000000+-0.100000x; interpolation
2550<=x<2580; y=-260.000000+0.133333x; interpolation
2580<=x<2610; y=1632.000000+-0.600000x; interpolation
2610<=x<2640; y=-1500.000000+0.600000x; interpolation
2640<=x<2670; y=612.000000+-0.200000x; interpolation
2670<=x<2700; y=-367.000000+0.166667x; interpolation
2700<=x<2730; y=533.000000+-0.166667x; interpolation
2730<=x<2760; y=1352.000000+-0.466667x; interpolation
2760<=x<2790; y=-1500.000000+0.566667x; interpolation
2790<=x<2820; y=1662.000000+-0.566667x; interpolation
2820<=x<2850; y=-970.000000+0.366667x; interpolation
2850<=x<2880; y=1310.000000+-0.433333x; interpolation
2880<=x<2910; y=-226.000000+0.100000x; interpolation
2910<=x<2940; y=65.000000+0.000000x; interpolation
2940<=x<2970; y=65.000000+0.000000x; interpolation
2970<=x<3000; y=-1519.000000+0.533333x; interpolation
3000<=x<3030; y=1681.000000+-0.533333x; interpolation
3030<=x<3060; y=-1652.000000+0.566667x; interpolation
3060<=x<3090; y=1408.000000+-0.433333x; interpolation
3090<=x<3120; y=-1373.000000+0.466667x; interpolation
3120<=x<3150; y=83.000000+0.000000x; interpolation
3150<=x<3180; y=1868.000000+-0.566667x; interpolation
3180<=x<3210; y=-40.000000+0.033333x; interpolation
3210<=x<3240; y=709.000000+-0.200000x; interpolation
3240<=x<3270; y=-695.000000+0.233333x; interpolation
3270<=x<3300; y=-1567.000000+0.500000x; interpolation
3300<=x<3330; y=413.000000+-0.100000x; interpolation
3330<=x<3360; y=1634.000000+-0.466667x; interpolation
3360<=x<3390; y=-1390.000000+0.433333x; interpolation
3390<=x<3420; y=-599.000000+0.200000x; interpolation
3420<=x<3450; y=541.000000+-0.133333x; interpolation
3450<=x<3480; y=1806.000000+-0.500000x; interpolation
3480<=x<3510; y=66.000000+0.000000x; interpolation
3510<=x<3540; y=417.000000+-0.100000x; interpolation
3540<=x<3570; y=-409.000000+0.133333x; interpolation
3570<=x<3600; y=424.000000+-0.100000x; interpolation
3600<=x<3630; y=304.000000+-0.066667x; interpolation
3630<=x<3660; y=-2842.000000+0.800000x; interpolation
3660<=x<3690; y=2526.000000+-0.666667x; interpolation
3690<=x<3720; y=189.000000+-0.033333x; interpolation
3720<=x<3750; y=-555.000000+0.166667x; interpolation
3750<=x<3780; y=-1305.000000+0.366667x; interpolation
3780<=x<3810; y=2097.000000+-0.533333x; interpolation
3810<=x<3840; y=319.000000+-0.066667x; interpolation
3840<=x<3870; y=-449.000000+0.133333x; interpolation
3870<=x<3900; y=-2126.000000+0.566667x; interpolation
3900<=x<3930; y=994.000000+-0.233333x; interpolation
3930<=x<3960; y=1780.000000+-0.433333x; interpolation
3960<=x<3990; y=-464.000000+0.133333x; interpolation
3990<=x<4020; y=-2060.000000+0.533333x; interpolation
4020<=x<4050; y=2094.000000+-0.500000x; interpolation
4050<=x<4080; y=474.000000+-0.100000x; interpolation
4080<=x<4110; y=-342.000000+0.100000x; interpolation
4110<=x<4140; y=617.000000+-0.133333x; interpolation
4140<=x<4170; y=-1315.000000+0.333333x; interpolation
4170<=x<4200; y=-759.000000+0.200000x; interpolation
4200<=x<4230; y=1901.000000+-0.433333x; interpolation
4230<=x<4260; y=350.000000+-0.066667x; interpolation
4260<=x<4290; y=-1780.000000+0.433333x; interpolation
4290<=x<4320; y=-636.000000+0.166667x; interpolation
4320<=x<4350; y=804.000000+-0.166667x; interpolation
4350<=x<4380; y=2399.000000+-0.533333x; interpolation
4380<=x<4410; y=-1543.000000+0.366667x; interpolation
4410<=x<4440; y=-514.000000+0.133333x; interpolation
4440<=x<4470; y=1706.000000+-0.366667x; interpolation
4470<=x<4500; y=-1721.000000+0.400000x; interpolation
4500<=x<4530; y=1879.000000+-0.400000x; interpolation
4530<=x<4560; y=-84.000000+0.033333x; interpolation
4560<=x<4590; y=-2364.000000+0.533333x; interpolation
4590<=x<4620; y=2838.000000+-0.600000x; interpolation
4620<=x<4650; y=220.000000+-0.033333x; interpolation
4650<=x<4680; y=-90.000000+0.033333x; interpolation
4680<=x<4710; y=-90.000000+0.033333x; interpolation
4710<=x<4740; y=538.000000+-0.100000x; interpolation
4740<=x<4770; y=-3096.000000+0.666667x; interpolation
4770<=x<4800; y=2946.000000+-0.600000x; interpolation
4800<=x<4830; y=-254.000000+0.066667x; interpolation
