0<=x<=30; y=65.000000+-0.266667x; interpolation
30<=x<=60; y=56.000000+0.033333x; interpolation
60<=x<=90; y=24.000000+0.566667x; interpolation
90<=x<=120; y=81.000000+-0.066667x; interpolation
120<=x<=150; y=129.000000+-0.466667x; interpolation
150<=x<=180; y=64.000000+-0.033333x; interpolation
180<=x<=210; y=-38.000000+0.533333x; interpolation
210<=x<=240; y=74.000000+0.000000x; interpolation
240<=x<=270; y=178.000000+-0.433333x; interpolation
270<=x<=300; y=88.000000+-0.100000x; interpolation
300<=x<=330; y=-152.000000+0.700000x; interpolation
330<=x<=360; y=134.000000+-0.166667x; interpolation
360<=x<=390; y=242.000000+-0.466667x; interpolation
390<=x<=420; y=21.000000+0.100000x; interpolation
420<=x<=450; y=-119.000000+0.433333x; interpolation
450<=x<=480; y=301.000000+-0.500000x; interpolation
480<=x<=510; y=93.000000+-0.066667x; interpolation
510<=x<=540; y=42.000000+0.033333x; interpolation
540<=x<=570; y=-210.000000+0.500000x; interpolation
570<=x<=600; y=132.000000+-0.100000x; interpolation
600<=x<=630; y=312.000000+-0.400000x; interpolation
630<=x<=660; y=18.000000+0.066667x; interpolation
660<=x<=690; y=-290.000000+0.533333x; interpolation
690<=x<=720; y=101.000000+-0.033333x; interpolation
720<=x<=750; y=533.000000+-0.633333x; interpolation
750<=x<=780; y=-42.000000+0.133333x; interpolation
780<=x<=810; y=-380.000000+0.566667x; interpolation
810<=x<=840; y=160.000000+-0.100000x; interpolation
840<=x<=870; y=580.000000+-0.600000x; interpolation
870<=x<=900; y=-58.000000+0.133333x; interpolation
900<=x<=930; y=-448.000000+0.566667x; interpolation
930<=x<=960; y=141.000000+-0.066667x; interpolation
960<=x<=990; y=525.000000+-0.466667x; interpolation
990<=x<=1020; y=-36.000000+0.100000x; interpolation
1020<=x<=1050; y=-308.000000+0.366667x; interpolation
1050<=x<=1080; y=77.000000+0.000000x; interpolation
1080<=x<=1110; y=617.000000+-0.500000x; interpolation
1110<=x<=1140; y=62.000000+0.000000x; interpolation
1140<=x<=1170; y=-584.000000+0.566667x; interpolation
1170<=x<=1200; y=196.000000+-0.100000x; interpolation
1200<=x<=1230; y=676.000000+-0.500000x; interpolation
